Unnamed: 0,time(millisecond),datetime(utc),lat,lon,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,time,alt,Planename,uav_category,x,y,z,vel_x,vel_y,vel_z,track_id
853,128498,29/09/2020 12:00,51.52429843,5.872468168,158.5728397,149.1240205,91.86352,257.1150027,0,22.15304316,3591.50274,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.447388,-2.23694,0.223694,249.7,7.6,-5.5,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,257.1150027,158.5728397,6,P-GPS,,2020-09-29 14:00:00,78.36865281,Parrot,Fixed-Wing,2237.482768755214,1337.410829101893,77.83670913026333,-12.338266923391588,-3.310377729836519,-0.516393425542385,0
864,130313,29/09/2020 12:00,51.52425103,5.872184458,155.8431808,146.263128,91.9947536,254.3853438,0,23.52321365,3526.509299,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.671082,-2.23694,0.0,253.3,8.7,-7.4,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,254.3853438,155.8431808,6,P-GPS,,2020-09-29 14:00:00,77.53665278,Parrot,Fixed-Wing,2217.794053341813,1332.1283137017726,77.01267741981462,-12.338266923391588,-3.310377729836519,-0.516393425542385,0
868,130918,29/09/2020 12:00,51.52422463,5.872037585,155.4068291,145.4986923,92.3228376,253.9489921,0,23.60799368,3492.585414,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.671082,-2.23694,0.0,252.8,8.6,-6.5,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,253.9489921,155.4068291,6,P-GPS,,2020-09-29 14:00:00,77.40365278,Parrot,Fixed-Wing,2207.6016386326655,1329.1865918091607,76.88382010492558,-6.387249276292231,-1.8434798392548521,-0.08075061845073295,0
881,133128,29/09/2020 12:00,51.5241623,5.87174292,155.3838632,145.935044,91.86352,253.9260262,0,22.82685423,3422.93318,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.894776,-2.013246,-0.223694,251.8,8.0,-6.8,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,253.9260262,155.3838632,6,P-GPS,,2020-09-29 14:00:00,77.39665278,Parrot,Fixed-Wing,2187.15353742549,1322.242931778756,76.88529431059658,-12.814148890533549,-4.351362142301504,0.0009238359479979134,0
894,135138,29/09/2020 12:00,51.52408523,5.871478364,156.4304512,145.4068288,93.4383232,254.9726141,0,23.10714281,3356.725829,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-2.013246,-0.223694,246.1,7.5,-6.9,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,254.9726141,156.4304512,6,P-GPS,,2020-09-29 14:00:00,77.71565279,Parrot,Fixed-Wing,2168.795897800437,1313.6603460164652,77.21232449874208,-11.504125740126735,-5.3784227058292675,0.20493900534515547,0
900,136146,29/09/2020 12:00,51.5240393,5.871350613,159.12074,147.9002672,93.6351736,257.6629029,0,22.48393133,3323.228453,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-2.013246,-0.223694,245.1,5.3,-5.3,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,257.6629029,159.12074,6,P-GPS,,2020-09-29 14:00:00,78.53565281,Parrot,Fixed-Wing,2159.9318226487294,1308.5465818534776,78.03637807589428,-5.55482279846126,-3.204626909446337,0.5164071286824197,0
910,137822,29/09/2020 12:00,51.52399217,5.871228698,161.1876692,150.5249392,93.0774308,259.7298321,0,22.22281332,3290.715328,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.789552,-0.223694,242.5,5.0,-1.8,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,259.7298321,161.1876692,6,P-GPS,,2020-09-29 14:00:00,79.16565283,Parrot,Fixed-Wing,2151.4727669570966,1303.2994529568332,78.67030618433103,-5.301010495187689,-3.28820217819677,0.3972617841187236,0
917,138884,29/09/2020 12:00,51.52394437,5.871109503,162.6968556,152.6246768,92.4868796,261.2390185,0,21.17359898,3258.61559,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.789552,-0.223694,237.9,3.5,-1.9,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,261.2390185,162.6968556,6,P-GPS,,2020-09-29 14:00:00,79.62565285,Parrot,Fixed-Wing,2143.2024481033895,1297.9778381909723,79.13417064225757,-5.182735359623515,-3.3348800094882924,0.29068851766107057,0
932,141008,29/09/2020 12:00,51.52379743,5.870765442,165.3608977,159.1929185,88.58268,263.9030606,0,20.99453194,3164.422673,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.789552,-0.223694,241.6,5.7,-0.8,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,263.9030606,165.3608977,6,P-GPS,,2020-09-29 14:00:00,80.43765287,Parrot,Fixed-Wing,2119.3299924483013,1281.6194883029507,79.95744106395193,-14.96007859348886,-10.251236970354656,0.5159163510527756,0
940,142170,29/09/2020 12:00,51.52374894,5.870655977,165.7414751,159.5734959,88.58268,264.2836381,0,20.63085023,3134.160205,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,237.7,2.6,-1.7,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,264.2836381,165.7414751,6,P-GPS,,2020-09-29 14:00:00,80.55365288,Parrot,Fixed-Wing,2111.7348323460487,1276.2213660163502,80.07703807238204,-4.759635694856143,-3.382824742941526,0.07494749059379527,0
