lat,lon,alt,ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),time,satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid,uav_category,x,y,z,vel_x,vel_y,vel_z,track_id
51.515913,5.853195,40.2,0.0,5.24,528.09,41.0,41.0,14.22,1000.72,295731,2020-09-30 08:43:41.676,2020-09-30 10:43:41.676,18,0,0,15.904,51.519537,5.858109,-2.5,-4.6,0.2,-23.8,-3.4,-118.8,0,1,0,80,100,-8044,2839,15904,3054.5,12,F-WP,1,0,0,0,0,0,0,1601455421676,3990,3984,3982,3976,0,0,27,,,,,,,0,0,0,238.0,-34.0,-1188.0,0.0,0.0,-1090.0,14,402.0,52.39,5280.92,-25.0,-46.0,2.0,0,,,80,100,0,2,0,0,0,2,1,,,,,0.0,0.0,0,LSS,472.72818811660386,305.20491325087244,40.175211211557155,-5.275651997096346,-2.8531340097620177,-0.09104657598130379,0
51.515885,5.853112,40.1,0.0,7.74,534.24,41.0,41.0,14.22,1000.72,296732,2020-09-30 08:43:42.677,2020-09-30 10:43:42.677,18,0,0,15.94,51.519537,5.858109,-3.7,-6.8,0.0,-24.3,-3.0,-119.1,0,1,0,80,100,-7386,2837,15940,3054.5,12,F-WP,1,0,0,0,0,0,0,1601455422677,3990,3984,3982,3976,0,0,27,,,,,,,0,0,0,243.0,-30.0,-1191.0,0.0,0.0,-1090.0,14,401.0,77.41,5342.44,-37.0,-68.0,0.0,0,,,80,100,0,2,0,0,0,2,1,,,,,0.0,0.0,0,LSS,466.9668754236108,302.08912828357376,40.07578316093074,-5.275651997096346,-2.8531340097620177,-0.09104657598130379,0
51.515846,5.852999,39.9,0.0,9.84,542.58,41.0,41.0,14.22,1000.72,297730,2020-09-30 08:43:43.676,2020-09-30 10:43:43.675,18,0,0,15.921,51.519537,5.858109,-4.6,-8.7,0.0,-24.3,-2.5,-119.2,0,1,0,80,100,-7824,2835,15921,3054.5,12,F-WP,1,0,0,0,0,0,0,1601455423675,3990,3984,3982,3976,0,0,27,,,,,,,0,0,0,243.0,-25.0,-1192.0,0.0,0.0,-1090.0,14,399.0,98.41,5425.84,-46.0,-87.0,0.0,0,,,80,100,0,2,0,0,0,2,1,,,,,0.0,0.0,0,LSS,459.1231537385387,297.7493095257189,39.876555615831194,-7.1825204042207735,-3.9739855683859515,-0.18243328425123087,0
51.515801,5.852862,39.7,0.0,11.23,552.62,41.0,41.0,14.22,1000.72,298731,2020-09-30 08:43:44.677,2020-09-30 10:43:44.677,18,0,0,15.945,51.519537,5.858109,-5.3,-9.9,0.0,-24.1,-5.5,-118.4,0,1,0,80,100,-7793,2833,15945,3054.5,12,F-WP,1,0,0,0,0,0,0,1601455424676,3990,3984,3982,3976,0,0,27,,,,,,,0,0,0,241.0,-55.0,-1184.0,0.0,0.0,-1090.0,14,397.0,112.29,5526.23,-53.0,-99.0,0.0,0,,,80,100,0,2,0,0,0,2,1,,,,,0.0,0.0,0,LSS,449.61347206116363,292.7418025183628,39.67746360057335,-8.708045163736925,-4.585389780346706,-0.18230917915259626,0
51.515749,5.852712,39.6,0.0,12.14,563.83,41.0,41.0,14.22,1000.72,299732,2020-09-30 08:43:45.677,2020-09-30 10:43:45.677,18,0,0,15.923,51.519537,5.858109,-6.1,-10.5,-0.1,-23.7,-7.5,-118.0,0,1,0,80,100,-8171,2830,15923,3055.5,12,F-WP,1,0,0,0,0,0,0,1601455425677,3990,3984,3982,3976,0,0,27,,,,,,,0,0,0,237.0,-75.0,-1180.0,0.0,0.0,-1090.0,14,396.0,121.44,5638.29,-61.0,-105.0,-1.0,0,,,80,100,0,2,0,0,0,2,1,,,,,0.0,0.0,0,LSS,439.2014254461101,286.9554283190818,39.57845068262431,-9.534343550797765,-5.298600896547524,-0.0906664376942225,0
51.515685,5.852541,39.6,0.0,13.02,577.05,41.0,41.0,14.22,1000.72,300832,2020-09-30 08:43:46.778,2020-09-30 10:43:46.777,18,0,0,15.834,51.519537,5.858109,-6.8,-11.1,-0.1,-24.8,-5.3,-118.5,0,1,0,80,100,-9279,2828,15834,3055.5,12,F-WP,1,0,0,0,0,0,0,1601455426777,3990,3984,3982,3976,0,0,27,,,,,,,0,0,0,248.0,-53.0,-1185.0,0.0,0.0,-1090.0,14,396.0,130.18,5770.53,-68.0,-111.0,-1.0,0,,,80,100,0,2,0,0,0,2,1,,,,,0.0,0.0,0,LSS,427.33171556246157,279.8338514102294,39.57957193019131,-10.869130350932698,-6.521250180945163,0.0010267298932191934,0
51.515623,5.852375,39.7,0.0,13.55,589.94,41.0,41.0,14.22,1000.72,301833,2020-09-30 08:43:47.778,2020-09-30 10:43:47.778,18,0,0,15.806,51.519537,5.858109,-7.0,-11.6,-0.1,-22.0,-3.8,-119.0,0,1,0,80,100,-9731,2825,15806,3056.5,12,F-WP,1,0,0,0,0,0,0,1601455427778,3990,3984,3982,3976,0,0,27,,,,,,,0,0,0,220.0,-38.0,-1190.0,0.0,0.0,-1090.0,14,397.0,135.49,5899.38,-70.0,-116.0,-1.0,0,,,80,100,0,2,0,0,0,2,1,,,,,0.0,0.0,0,LSS,415.8090467241429,272.93485262196896,39.68063108462384,-10.551343783629132,-6.317434701906977,0.0925401828224476,0
51.51556,5.852206,39.7,0.0,13.58,603.07,41.0,41.0,14.22,1000.72,302834,2020-09-30 08:43:48.779,2020-09-30 10:43:48.779,18,0,0,15.818,51.519537,5.858109,-6.9,-11.7,0.0,-21.7,-2.9,-119.2,0,1,0,80,100,-9157,2823,15818,3056.5,12,F-WP,1,0,0,0,0,0,0,1601455428779,3990,3984,3982,3976,0,0,27,,,,,,,0,0,0,217.0,-29.0,-1192.0,0.0,0.0,-1090.0,14,397.0,135.83,6030.67,-69.0,-117.0,0.0,0,,,80,100,0,2,0,0,0,2,1,,,,,0.0,0.0,0,LSS,404.07809686421876,265.924600260473,39.681679812084525,-10.742067364546102,-6.419309945814119,0.0009603230057446796,0
51.515499,5.852037,39.9,0.0,13.48,616.03,41.0,41.0,14.22,1000.72,303835,2020-09-30 08:43:49.780,2020-09-30 10:43:49.780,18,0,0,15.889,51.519537,5.858109,-6.7,-11.7,-0.1,-23.7,-5.0,-118.5,0,1,0,79,100,-8996,2820,15889,3056.5,12,F-WP,1,0,0,0,0,0,0,1601455429780,3990,3984,3982,3976,0,0,27,,,,,,,0,0,0,237.0,-50.0,-1185.0,0.0,0.0,-1090.0,14,399.0,134.83,6160.27,-67.0,-117.0,-1.0,0,,,80,100,0,2,0,0,0,2,1,,,,,0.0,0.0,0,LSS,392.3471097281799,259.13690083076966,39.88269025893477,-10.742101498400624,-6.215517532238121,0.18406589294354378,0
51.515438,5.851867,39.9,0.0,13.57,629.03,41.0,41.0,14.22,1000.72,304836,2020-09-30 08:43:50.781,2020-09-30 10:43:50.781,18,0,0,15.843,51.519537,5.858109,-6.7,-11.8,0.0,-23.0,-5.0,-118.6,0,1,0,79,100,-8496,2818,15843,3056.5,12,F-WP,1,0,0,0,0,0,0,1601455430781,3975,3966,3957,3944,0,0,27,,,,,,,0,0,0,230.0,-50.0,-1186.0,0.0,0.0,-1090.0,14,399.0,135.69,6290.29,-67.0,-118.0,0.0,0,,,80,100,0,2,0,0,0,2,1,,,,,0.0,0.0,0,LSS,380.5466611175756,252.34921501357036,39.883676079011636,-10.805707587245255,-6.215505067225706,0.0009027185182305682,0
